x,y,z,convected,diffused
-1.8658,1.0097,-1.175,0.57611,1.5436
-1.9788,1.0709,-1.175,0.57613,1.5436
-1.8916,0.6494,-1.175,0.57613,1.5437
-2.0066,0.68886,-1.175,0.57611,1.5436
-2.1281,0.73057,-1.175,0.57613,1.5436
-1.9727,0.32919,-1.175,0.57613,1.5437
-2.0926,0.34919,-1.175,0.57611,1.5436
-2.2193,0.37034,-1.175,0.57613,1.5436
-2,1.47E-16,-1.175,0.57613,1.5437
-2.1215,-4.70E-07,-1.175,0.57611,1.5436
-2.25,-1.65E-16,-1.175,0.57613,1.5436
-1.9727,-0.32919,-1.175,0.57613,1.5436
-2.0926,-0.34919,-1.175,0.57611,1.5436
-2.2193,-0.37034,-1.175,0.57613,1.5436
-1.8916,-0.6494,-1.175,0.57613,1.5436
-2.0066,-0.68886,-1.175,0.57611,1.5436
-2.1281,-0.73057,-1.175,0.57613,1.5436
-1.7589,-0.95189,-1.175,0.57613,1.5436
-1.8658,-1.0097,-1.175,0.57611,1.5436
-1.9788,-1.0709,-1.175,0.57612,1.5436
-1.5783,-1.2284,-1.175,0.57612,1.5436
-1.6742,-1.3031,-1.175,0.57611,1.5436
-1.7756,-1.382,-1.175,0.57612,1.5436
